,label,review
58367,1,朋友送的定制版信息守护神，据说有很强大的加密存储保护功能，不用怕任何存储介质丢失，也不怕电脑送修[哈哈][鼓掌]
111849,0,想起来了，你是3月4日广州经北京往柏林ITB.11号回程全程海航，这个行程还引发业内关于国际业务的讨论！海航和Orbitz 应给你免费升仓!//@charlie李超:回复@zsubabyfat:你这公司真好，我弄个安全通道的位子就感激涕零了[泪] //@zsubabyfat:以前托公司的福，出差总是坐海航的头等舱，座椅一流
89317,0,最近这几个星期都不想吃饭；无论有没有吃饭，都有一种恶心想吐的感觉，这是什么可怕的先兆？[衰]
102443,0,n?b //@北京全攻略:【是首都更是首“堵”！！[抓狂]】千里江陵一日还，老子堵在北三环。一行白鹭上青天，老子堵在小西天。两岸猿声啼不住，老子堵在宵云路。柳暗花明又一村，老子堵在中关村。借问酒家何处有，老子堵在五道口。桃花依旧笑春风，老子堵在四惠东！天长地久有时尽，只有堵车无绝期！
118857,0,//@京京:真恶心[衰]
95825,0,今天打球的时候被一个高佬兼长手老盖了四个大帽[怒]虽然我也盖他一两个加若干抢断，但是这四个大帽真让人憋屈啊~~~[抓狂][怒][哼]看来上篮的技巧和过人速度还有待加强啊~~~
17930,1,//@鸣乐汇翟琼: 赌多少？赌啥的！ //@鸣乐汇吴天忍:[嘻嘻]我能赌么？// @琦琦527-祝董小卿生日快乐 : 赌五毛，压月阳= =[右哼哼]// @如花美眷-似水流连 : 赌一块，压天忍。[乐乐]// @琦琦527-祝董小卿生日快乐 : 天忍和月阳谁是舞蹈家[思考]
56365,1,[哈哈][吃惊] //@博斐秀禾_偏威津:介一笸箩爆米花得吃到哪辈子去？
4412,1,开心享受美食！幸福过每天！[可爱] //@黄小闲86: @三样菜帮主  [偷笑]
76140,0,回复@谭夏从:姑娘我想回成都[泪][泪][泪][泪][泪]从从~ //@谭夏从:你肿么了姑娘？？！！
35412,1,你上回去台湾，怎么没有去呢？ //@最新鲜的春药:想去邓丽君墓园 //@阿秀秀:我还有――?山梯田、 富?角公?，没有去。 //@新北旅客:[爱你] 谢谢@台北民宿 为大家整理了#台???景?#，这些新北市的景点，大家最想去哪几个呢？
66748,0,北京PM2.5，又爆表了，[衰]
93605,0,是不是之后客串的星星们都要用这种形式预告自己在哪一集粗现？@佟大为 先生，你是在第3?集出现的！[泪] //@黄晓明: 反正我不信这是@宁财神 不查公式不翻课本不百度不求助自己算出来的！ 顺便预告一下，我是在第√36*3集出现的！[偷笑][偷笑]
56112,1,安全抵京。感谢微博上和短信里祝福我的亲们～现在出发宾馆，@中央台南光 @007的桃丫头 明天见喽！[嘻嘻]等会准备和@新疆扎巴依 师弟在宾馆附近找个餐厅喝点二锅头…晚安北京！[呵呵] http://t.cn/zOtQPkX
27835,1,大家早安[爱你]@健一公馆 甜心马卡龙配香草烤布蕾
46981,1,#时尚节目带#本期《时尚家居》大来宾――@刘园园 [鼓掌]戏剧中她饰演过许多角色，《不要和陌生人说话》里的胡妮娜，《胭脂雪》里的筱如梦，《百花深处》里的婉菊，现实中她也是一个贴心的好女儿，本期节目中刘园园与你分享那些老年房的装修心得[太开心]更多精彩内容尽在本周日22:25青海卫视时尚家居！
93753,0,这年头连乌龟也变狡猾了！[失望][失望][失望]
111332,0,High呢！[哈哈][干杯]//@SheArer_s:真真的，好久没见了亲爱的们[泪]，你们都为生活忙碌了，难得一聚，一切祝好，还有我家母最爱的@兔拉拉810 和最怕的@ScheCter_d ，和一人能唱男女的@A萌小?A
63586,0,快板《同仁堂》。。。//@Francesca依旧在等逃避星人回来:让我听见你的声音  好像有滴凄凉//@Grace_YueSe:As long as you love me //@阿咚咚咚喵: 爱有路可退[抓狂] //@gugu需要勤俭节约:月迷风影，感觉好凄惨//@灰_______: Be strong...好
28482,1,[good]//@王厚明:感谢很多朋友们的鼓励和给力，爱让梦想来[心]//@林妙可: 在大家的支持下，和师傅[偷笑]一起爱心传递 //@策划钟思潜:[鼓掌] @林妙可 很可爱天真，王厚明的音乐公益梦想定能与她，与众歌手一起穿越，一起飞翔！！ @彩色彦生 @林妙可中文网官方微博 @林爽Sara @孟苗的围脖
78696,0,今天是工作，不算失眠！[嘻嘻]难道我患上失眠症了吗？[抓狂]
8611,1,哈哈生娃还能长个啊？和你一样水灵啊[花心]//@江儿何田田: 生了娃，个子长高了1cm，脚也长大了1cm，目测嘴巴还保持原来宽度，俺知足啦啦啦啦啦//@小荃子: 只有大嘴木有变[嘻嘻]
74993,0,已经12年了啊…我以前最喜欢道明寺…这是在逼我回忆过去…好感人[可怜][可怜]，今年有巡演的话我一定去看[围观]  ps，这照片不是滤镜了，是我家电视在走复古路线[泪][泪]…@美味人生NANA  你懂的…[偷笑]  #荔枝春晚微直播#
55108,1,晚安各位，在happy的继续happy咯。等待[??老人]给大家[?物]Merry xmas[???][????][?鹿][???][????][?物][偷笑][害羞][抱抱]
97896,0,【高速广播编辑李琪】15日，重庆小学四年级学生靳亮一个人在过马路时，被一辆出租车当场撞倒，原以为出租车司机要送自己去医院，没想到半路上司机叔叔给了他100元，然后把他推下车。经诊断，小亮为脚踝骨折，家长已报警。三天过去了，肇事司机请你站出来！[怒]@CQTV新闻频道 @央视新闻 @法制晚报
53192,1,还真是这样的@哥哥叫Jessica @叮?叔叔 //@凤凰刘建东: 看来你的不够三条//@萨博slinna: 能有其中三条我就知足[哈哈]
90621,0,新的一周   庆祝的一周   好多重要的日子   幸福又美好    特别感谢神    给我美满平静舒适的生活[呵呵]    工作学习也要怀特呀[奥特曼]考试的日子越来越近啦[抓狂]怀特怀特[爱你]
6334,1,？//@王-旭东:真哒![吃惊][围观][鼓掌]
23346,1,[爱你] 喜欢喜欢喜欢
70110,0,#道晚安# 日复一日，明天又周一了[抓狂][抓狂]
38525,1,就是你?的～?怪人家唱道破音～[鼓掌] //@??川:那一首啊
151,1,好喜欢@向京 老师的#亲爱的小孩#在@CIGE 上也看到了[可爱]
24381,1,七大美女！ //@winnieHe沙也加: 杭州维景最具竞争力的特色之一！[鼓掌]//@jazzcat-hangzhou: @许慕韩 @港中旅孙武 @荷香之雅韵 @维景旗袍 @国晶007 @禾页Ingrid
14369,1,瓶子姐看好你[可爱]
14661,1,回复@我系仙华:只可意会不可言传。[哈哈] //@我系仙华:明显是……[偷笑]//@38号美系性能控: 亲，你是夸宝马呢还是黑宝马呢？[偷笑]
48587,1,//@边疆边吃边说:回复@刘吻雯_LoisLiu:[汗] //@刘吻雯_LoisLiu:回复@边疆边吃边说: 多谢您指点[可爱] //@边疆边吃边说:“吃回本不是用餐的目的，吃到称心合口的美味才是王道”自助餐经营者要研究消费群体心理，“吃回本”心态将“失态”。
99567,0,//@广告主杂志程坤://@上海广告媒体圈: 翻身农奴把歌唱！[哈哈]//@中视金桥国际传媒集团: 广告人终于逆袭了！[bm赞][围观]@扭发条猴子:回复@ChrisTrey:汤唯！！！广告公司！！！总监！！！[泪][泪][泪]@上海广告媒体圈
18756,1,[哈哈]好吃吧！今天继续所有寿司买二赠一，招牌鹅肝寿司买一赠一噢
